gender,grad_year,course,Poly_Uni_attended,Uni_Poly_Type,qualification,NYSC_complete,course_helped_emp,course_helped_skills,best_sector,job_search_mode,job1_reason,job1_x_qual,job1_level,job1_via_NYSC,car_rent_from_job1
Female,2016,International and Jurisprudence,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,Disagree,Knowledge of the skill(s) you are studying,Oil & Gas / Mining,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2015,Economics,Covenant University Ota,Private,Bachelor's degree,Yes,Strongly Disagree,"Ability to work with others, Written communication skills, Spoken communication skills",Banking / Financial Services,"Personal contacts, including family and friends",,,,No,No
Female,2016,Social Work,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,Computer Science,"Auchi Polytechnic, Auchi, Edo State.",Federal,Higher National Diploma (HND),No,,,,,,,,No,
Male,2017,Systems Engineering,University of Lagos,Federal,Bachelor's degree,No,Disagree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Spoken communication skills",Engineering,Employer's website,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Male,2017,Business Administration,University of Benin,Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Banking / Financial Services,"Personal contacts, including family and friends",,,,No,No
Male,2017,Architecture,Covenant University Ota,Private,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",It fitted into my career plan/it was exactly the type of work I wanted,No: the qualification was not required,Entry level,Yes,No
Male,2017,Mathematics,University of Lagos,Federal,Bachelor's degree,No,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying",Advertising / Marketing / Comms,Social media/professional networking sites,,,,No,No
Male,2016,Mechanical Engineering,University of Lagos,Federal,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Engineering,Recruitment agency/Online job site,,,,Yes,No
Female,2017,Mass Communication (Communication and Language Arts),University of Benin,Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Written communication skills, Spoken communication skills",Oil & Gas / Mining,Social media/professional networking sites,It was the only job offer I received,No: the qualification was not required,Clerical and administrative,No,No
Female,2016,English and Literary Studies,University of Lagos,Federal,Bachelor's degree,Ongoing,Agree,Spoken communication skills,Travels/Tours,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2015,Business Administration,Others (For foreign trained students),Foreign,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Consulting,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Clerical and administrative,No,No
Female,2017,Educational Foundations,University of Lagos,Federal,Bachelor's degree,No,Disagree,"Ability to work with others, Written communication skills, Spoken communication skills",Consulting,Recruitment agency/Online job site,,,,No,No
Female,2015,Computer Science,University of Benin,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others",Power/Energy,"Personal contacts, including family and friends",,,,No,No
Male,2016,Petroleum and Gas Engineering,University of Ibadan,Federal,Bachelor's degree,Ongoing,,,,,,,,No,
Male,2013,Political Science,University of Benin,Federal,Bachelor's degree,Yes,Disagree,Written communication skills,Government / Defence,"Personal contacts, including family and friends",,,,No,No
Female,2016,Computer Science,"Lagos State Polytechnic, Ikorodu, Ikeja, Lagos, Lagos State.",State,Higher National Diploma (HND),Ongoing,,,,,,,,No,
Female,2016,Accountancy,"Al-Hikmah University, Ilorin",Private,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,English and Literary Studies,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,No,Disagree,None of the above,Creatives/Art/Design,"Personal contacts, including family and friends",,,,No,No
Female,2016,Mass Communication (Communication and Language Arts),"Adekunle Ajasin University, Akungba.",State,Bachelor's degree,Yes,Strongly Agree,Spoken communication skills,Advertising / Marketing / Comms,"Personal contacts, including family and friends",,,,No,No
Male,2014,Production and Industrial Engineering,University of Benin,Federal,Bachelor's degree,Yes,Strongly Disagree,Ability to solve complex problems,Oil & Gas / Mining,Recruitment agency/Online job site,It was the best job offer I received,Yes: the qualification was a formal requirement,Entry level,No,Yes
Female,2015,Geology,"Federal University of Technology, Owerri",Federal,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others",Banking / Financial Services,Recruitment agency/Online job site,,,,No,No
Male,2015,Banking and Finance,University of Lagos,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Government / Defence,"Personal contacts, including family and friends",,,,No,No
Male,2015,Computer Engineering,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2015,Education & Computer Science,University of Ilorin,Federal,Bachelor's degree,Yes,Disagree,"Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",,,,No,No
Female,2016,Economics,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2017,Economics,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,No,,,,,,,,No,
Female,2015,History and International Studies,University of Ilorin,Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2016,Political Science,Covenant University Ota,Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2014,Educational Foundations,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Agree,Ability to solve complex problems,Telecommunications,Employer's website,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Male,2017,Building,University of Lagos,Federal,Bachelor's degree,No,Strongly Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Construction / Real Estate,"Personal contacts, including family and friends",It was the best job offer I received,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Female,2014,International and Jurisprudence,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,Strongly Disagree,None of the above,Advertising / Marketing / Comms,Recruitment agency/Online job site,It was the only job offer I received,No: the qualification was not required,Entry level,No,No
Male,2017,Mass Communication (Communication and Language Arts),University of Lagos,Federal,Bachelor's degree,No,Agree,"Written communication skills, Spoken communication skills",Advertising / Marketing / Comms,Social media/professional networking sites,,,,No,No
Male,2016,Architecture,University of Lagos,Federal,Bachelor's degree,No,Agree,Knowledge of the skill(s) you are studying,Consulting,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Experience/Professional,No,No
Female,2017,English and Literary Studies,University of Ibadan,Federal,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills",Media,Internship,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Clerical and administrative,No,No
Female,2015,Accountancy,"Osun State University, Oshogbo",State,Bachelor's degree,Yes,Agree,"Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Telecommunications,Social media/professional networking sites,,,,Yes,No
Female,2014,Economics,"Ambrose Alli University, Ekpoma,",State,Bachelor's degree,Yes,Agree,Ability to solve complex problems,Banking / Financial Services,Recruitment agency/Online job site,,,,No,No
Male,2015,Anatomy,Delta State University Abraka,State,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Creatives/Art/Design,Recruitment agency/Online job site,It was the only job offer I received,No: the qualification was not required,Entry level,Yes,No
Male,2016,Computer Engineering,University of Lagos,Federal,Bachelor's degree,Ongoing,Disagree,"Ability to solve complex problems, Ability to work with others, Written communication skills",Telecommunications,Media (e.g. newspaper/magazine advertisement),,,,No,No
Female,2014,Physiology,University of Benin,Federal,Bachelor's degree,Yes,Disagree,Ability to work with others,Healthcare,Recruitment agency/Online job site,,,,No,No
Male,2016,Estate Management,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",FMCG,"Personal contacts, including family and friends",,,,Yes,No
Female,2017,Geology,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Female,2016,Botany,University of Uyo,Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Health and Physical Education,University of Benin,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Consulting,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Female,2015,Computer Science,"Madonna University, Okija",Private,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Technology,Recruitment agency/Online job site,,,,No,No
Male,2017,Economics,University of Lagos,Federal,Bachelor's degree,No,Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Consulting,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2014,Economics,"University of Nigeria, Nsukka",Federal,Master's degree,Yes,Disagree,Ability to work with others,Power/Energy,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Male,2015,Physics and Astronomy,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Yes,Strongly Disagree,Critical thinking skills,Technology,Recruitment agency/Online job site,,,,No,No
Female,2017,Biochemistry,University of Lagos,Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Spoken communication skills",Travels/Tours,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Experience/Professional,No,No
Male,2017,Accountancy,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,No,Agree,Critical thinking skills,Consulting,"Personal contacts, including family and friends",,,,No,No
Male,2015,Mechanical Engineering,"Federal Polytechnic Nekede, Owerri, Imo State.",Federal,Higher National Diploma (HND),Yes,,,,,,,,No,
Male,2015,Geophysics,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems",Telecommunications,"Personal contacts, including family and friends",In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,No
Female,2017,Biochemistry,University of Lagos,Federal,Bachelor's degree,No,Strongly Disagree,Critical thinking skills,Hospitality/Leisure,"Personal contacts, including family and friends",,,,No,No
Male,2015,Pure and Industrial Chemistry,University of Ibadan,Federal,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Female,2015,English and Literary Studies,University of Calabar,Federal,Bachelor's degree,Ongoing,,,,,,,,No,
Male,2014,Microbiology,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2014,Metallurgical and Materials Engineering,"Federal University of Technology, Akure",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Manufacturing / Production,"Personal contacts, including family and friends",In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,No
Female,2015,Political Science,University of Lagos,Federal,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Government / Defence,"Personal contacts, including family and friends",,,,No,No
Male,2016,Business Management,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2016,Theatre and Film Studies,University of Ilorin,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Media,Recruitment agency/Online job site,,,,Yes,No
Male,2016,Philosophy,Ekiti State University,State,Bachelor's degree,Yes,Agree,Critical thinking skills,Trade / Services,"Personal contacts, including family and friends",,,,No,No
Female,2017,Business Administration,"Joseph Ayo Babalola University, Ikeji-Arakeji",Private,Bachelor's degree,Ongoing,Disagree,None of the above,Consulting,"Personal contacts, including family and friends",,,,No,No
Female,2017,Mass Communication (Communication and Language Arts),University of Ibadan,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2016,Mechanical Engineering,University of Lagos,Federal,Bachelor's degree,Yes,Strongly Disagree,"Ability to work with others, Spoken communication skills",Aerospace,Social media/professional networking sites,,,,Yes,No
Male,2016,Computer Science,"National Open University of Nigeria, Lagos.",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,Economics,Others (For foreign trained students),Foreign,Bachelor's degree,Yes,Disagree,None of the above,Consulting,Recruitment agency/Online job site,,,,Yes,No
Male,2017,Computer Science,University of Lagos,Federal,Bachelor's degree,No,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying",Telecommunications,"Personal contacts, including family and friends",,,,No,No
Male,2015,Linguistics and Nigerian Languages,Ekiti State University,State,Bachelor's degree,Yes,,,,,,,,Yes,
Male,2016,Geophysics,Covenant University Ota,Private,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Oil & Gas / Mining,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,English and Literary Studies,"University of Abuja, Gwagwalada",Federal,Bachelor's degree,No,,,,,,,,No,
Female,2017,History and International Studies,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Female,2017,History and International Studies,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2017,Business Administration,University of Benin,Federal,Bachelor's degree,No,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Banking / Financial Services,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Female,2014,Accountancy,University of Benin,Federal,Bachelor's degree,Yes,Disagree,Knowledge of the skill(s) you are studying,Power/Energy,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2015,Food Science and Technology,"Rufus Giwa Polytechnic, Owo, Owo Ondo State.",State,Higher National Diploma (HND),Yes,Strongly Agree,Ability to solve complex problems,Manufacturing / Production,"Personal contacts, including family and friends",,,,Yes,No
Female,2014,Accountancy,University of Lagos,Federal,Bachelor's degree,Yes,Disagree,Knowledge of the skill(s) you are studying,Oil & Gas / Mining,"Personal contacts, including family and friends",,,,No,No
Female,2015,Accountancy,University of Lagos,Federal,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Banking / Financial Services,Social media/professional networking sites,,,,No,No
Male,2014,Soil Science,"University of Nigeria, Nsukka",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2014,Botany,"Lagos State University Ojo, Lagos.",State,Master's degree,Yes,,,,,,,,Yes,
Male,2016,Accountancy,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Ongoing,Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Consulting,"Personal contacts, including family and friends",,,,Yes,No
Female,2017,Accountancy,"Wesley Univ. of Science & Tech.,Ondo",Private,Bachelor's degree,No,,,,,,,,No,
Female,2014,Mass Communication (Communication and Language Arts),"Joseph Ayo Babalola University, Ikeji-Arakeji",Private,Master's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Education,"Personal contacts, including family and friends",,,,No,No
Female,2017,Computer Science,University of Ibadan,Federal,Bachelor's degree,No,,,,,,,,No,
Female,2015,Chemical Engineering,University of Port-Harcourt,Federal,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills",Engineering,Recruitment agency/Online job site,It fitted into my career plan/it was exactly the type of work I wanted,No: the qualification was not required,Entry level,No,No
Female,2017,Business Management,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,No,,,,,,,,No,
Male,2017,Systems Engineering,University of Lagos,Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"University/polytechnic (e.g. Careers Service, lecturer, website)",To see if I would like the type of work it involved,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,History and International Studies,"Redeemer's University, Mowe",Private,Bachelor's degree,Yes,,,,,,,,No,
Female,2014,Mass Communication (Communication and Language Arts),"Lagos State University Ojo, Lagos.",State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to work with others, Spoken communication skills",Telecommunications,Recruitment agency/Online job site,It fitted into my career plan/it was exactly the type of work I wanted,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Female,2015,History and International Studies,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,,,,,,,,Yes,
Female,2016,Microbiology,"Michael Okpara Uni. of Agric., Umudike",Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2014,Mathematics,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Banking / Financial Services,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Managerial,No,No
Male,2016,Educational Foundations,Ekiti State University,State,Bachelor's degree,Ongoing,Disagree,"Critical thinking skills, Ability to work with others, Spoken communication skills",Technology,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Clerical and administrative,No,No
Female,2014,Economics,"Bowen University, Iwo",Private,Bachelor's degree,Yes,Strongly Disagree,Ability to solve complex problems,Food Services,Social media/professional networking sites,It was an opportunity to progress in the organisation,No: the qualification was not required,Entry level,No,No
Male,2013,Estate Management,University of Lagos,Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems, Written communication skills",Construction / Real Estate,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Managerial,No,Yes
Male,2015,English and Literary Studies,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Government / Defence,Employer's website,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Clerical and administrative,No,No
Male,2015,Physics and Astronomy,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,Yes,Disagree,Ability to work with others,Manufacturing / Production,"Personal contacts, including family and friends",,,,No,No
Male,2014,Statistics,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2015,Agricultural Extension,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Advertising / Marketing / Comms,Recruitment agency/Online job site,,,,Yes,No
Female,2015,Accountancy,Others (For foreign trained students),Foreign,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Travels/Tours,Social media/professional networking sites,,,,No,No
Female,2013,Computer Science,"Tai Solarin Univ. of Education, Ijebu-Ode",State,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,Political Science,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,No,,,,,,,,No,
Female,2017,Biochemistry,"Michael Okpara Uni. of Agric., Umudike",Federal,Bachelor's degree,No,Strongly Disagree,Critical thinking skills,Manufacturing / Production,Recruitment agency/Online job site,,,,No,No
Male,2016,Computer Science,"Bowen University, Iwo",Private,Bachelor's degree,Yes,,,,,,,,No,
Female,2016,Sociology/Anthropology,Ekiti State University,State,Bachelor's degree,Yes,,,,,,,,No,
Male,2016,Electrical & Electronic Engineering,"Landmark University,Omu-Aran.",Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Accountancy,"University of Abuja, Gwagwalada",Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Government / Defence,"Personal contacts, including family and friends",,,,No,No
Male,2014,Computer Engineering,"Madonna University, Okija",Private,Bachelor's degree,Yes,,,,,,,,Yes,
Female,2016,Social Work,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills",NGO,Recruitment agency/Online job site,,,,No,No
Male,2014,Religion,University of Ilorin,Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2016,Computer Engineering,"Michael Okpara Uni. of Agric., Umudike",Federal,Bachelor's degree,No,Disagree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Spoken communication skills",Media,"Personal contacts, including family and friends",,,,No,Yes
Female,2016,Economics,Olabisi Onabanjo University Ago-Iwoye,State,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Computer Science,"Tai Solarin Univ. of Education, Ijebu-Ode",State,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,Recruitment agency/Online job site,,,,No,No
Female,2015,Mechanical Engineering,Covenant University Ota,Private,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Power/Energy,"Personal contacts, including family and friends",,,,No,No
Male,2013,Food Science and Technology,"University of Agriculture, Abeokuta.",Federal,Bachelor's degree,Yes,Strongly Disagree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Don't know,Entry level,Yes,No
Female,2015,History and International Studies,"Redeemer's University, Mowe",Private,Bachelor's degree,Yes,Agree,Ability to work with others,NGO,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Clerical and administrative,No,No
Female,2015,Psychology,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,Economics,Covenant University Ota,Private,Bachelor's degree,Ongoing,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Consulting,Social media/professional networking sites,,,,No,No
Female,2016,Accountancy,University of Lagos,Federal,Bachelor's degree,Ongoing,Disagree,"Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying",Banking / Financial Services,"University/polytechnic (e.g. Careers Service, lecturer, website)",,,,No,No
Female,2017,Law,University of Ibadan,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2016,Accountancy,University of Lagos,Federal,Bachelor's degree,Yes,Agree,Critical thinking skills,Banking / Financial Services,Employer's website,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,International and Jurisprudence,"Landmark University,Omu-Aran.",Private,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",NGO,Recruitment agency/Online job site,,,,Yes,No
Female,2016,Computer Science,University of Lagos,Federal,Bachelor's degree,Ongoing,Agree,"Written communication skills, Knowledge of the skill(s) you are studying",Technology,Media (e.g. newspaper/magazine advertisement),It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2016,Psychology,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,Ongoing,Strongly Agree,Ability to work with others,Government / Defence,"University/polytechnic (e.g. Careers Service, lecturer, website)",,,,No,No
Male,2015,Business Administration,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Knowledge of the skill(s) you are studying",Retail / Wholesales,"Personal contacts, including family and friends",,,,No,No
Male,2016,Political Science,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Disagree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",NGO,Recruitment agency/Online job site,,,,No,No
Female,2016,Computer Science,"Afe Babalola University, Ado-Ekiti - Ekiti State",Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Economics,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems",Others,"Personal contacts, including family and friends",To see if I would like the type of work it involved,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2015,Sociology/Anthropology,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills",Consulting,Employer's website,To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,No,No
Male,2016,History and International Studies,"Redeemer's University, Mowe",Private,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,Industrial Relations and Personnel Management,"Yaba College of Technology, Yaba, Lagos State.",Federal,Higher National Diploma (HND),Ongoing,Disagree,Critical thinking skills,Media,"Personal contacts, including family and friends",,,,No,No
Male,2015,Architecture,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Construction / Real Estate,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2014,Computer Science,"Abdu Gusau Polytechnic, Talata Mafara, Zamfara State.",State,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Experience/Professional,No,No
Female,2017,Psychology,Covenant University Ota,Private,Bachelor's degree,Ongoing,Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",NGO,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,No: the qualification was not required,Entry level,Yes,No
Male,2017,Economics,Covenant University Ota,Private,Bachelor's degree,Ongoing,,,,,,,,Yes,
